Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
positive_val (n=500)  mean(prob)=0.6746

    scheme   rate  mean_prob  AUROC(prob,OOD)
    ------   ----  ---------  ---------------
   replace   0.10     0.9063           0.9601
   replace   0.20     0.9727           0.9972
   replace   0.30     0.9907           0.9999
   replace   0.40     0.9965           1.0000
   replace   0.50     0.9985           1.0000
   replace   0.60     0.9994           1.0000
   replace   0.70     0.9997           1.0000
   replace   0.80     0.9998           1.0000
   replace   0.90     0.9999           1.0000
   replace   1.00     0.9999           1.0000
   shuffle   0.10     0.7642           0.7147
   shuffle   0.20     0.8291           0.8594
   shuffle   0.30     0.8736           0.9310
   shuffle   0.40     0.9021           0.9621
   shuffle   0.50     0.9189           0.9750
   shuffle   0.60     0.9341           0.9848
   shuffle   0.70     0.9428           0.9897
   shuffle   0.80     0.9471           0.9910
   shuffle   0.90     0.9512           0.9922
   shuffle   1.00     0.9525           0.9929
      both   0.10     0.9304           0.9812
      both   0.20     0.9818           0.9991
      both   0.30     0.9940           1.0000
      both   0.40     0.9976           1.0000
      both   0.50     0.9989           1.0000
      both   0.60     0.9995           1.0000
      both   0.70     0.9997           1.0000
      both   0.80     0.9999           1.0000
      both   0.90     0.9999           1.0000
      both   1.00     1.0000           1.0000

Wrote runs/ood_svgp_dirichletfm_det/baseline_ep10_d10k_attention/svgp_corruption_sweep.json
Wrote runs/ood_svgp_dirichletfm_det/baseline_ep10_d10k_attention/svgp_corruption_sweep.png
