Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
positive_val (n=500)  mean(prob)=0.4697

    scheme   rate  mean_prob  AUROC(prob,OOD)
    ------   ----  ---------  ---------------
   replace   0.10     0.7490           0.9694
   replace   0.20     0.9064           0.9991
   replace   0.30     0.9671           1.0000
   replace   0.40     0.9896           1.0000
   replace   0.50     0.9966           1.0000
   replace   0.60     0.9988           1.0000
   replace   0.70     0.9996           1.0000
   replace   0.80     0.9999           1.0000
   replace   0.90     0.9999           1.0000
   replace   1.00     1.0000           1.0000
   shuffle   0.10     0.6015           0.8132
   shuffle   0.20     0.7115           0.9531
   shuffle   0.30     0.7948           0.9883
   shuffle   0.40     0.8468           0.9955
   shuffle   0.50     0.8834           0.9989
   shuffle   0.60     0.9085           0.9996
   shuffle   0.70     0.9233           0.9998
   shuffle   0.80     0.9339           0.9999
   shuffle   0.90     0.9384           1.0000
   shuffle   1.00     0.9405           1.0000
      both   0.10     0.8238           0.9920
      both   0.20     0.9503           1.0000
      both   0.30     0.9847           1.0000
      both   0.40     0.9949           1.0000
      both   0.50     0.9981           1.0000
      both   0.60     0.9992           1.0000
      both   0.70     0.9997           1.0000
      both   0.80     0.9999           1.0000
      both   0.90     0.9999           1.0000
      both   1.00     1.0000           1.0000

Wrote runs/ood_svgp_dirichletfm_det/baseline_ep10_d10k_mean/svgp_corruption_sweep.json
Wrote runs/ood_svgp_dirichletfm_det/baseline_ep10_d10k_mean/svgp_corruption_sweep.png
