Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
positive_val (n=500)  mean(prob)=0.5182

    scheme   rate  mean_prob  AUROC(prob,OOD)
    ------   ----  ---------  ---------------
   replace   0.10     0.8085           0.9737
   replace   0.20     0.9378           0.9999
   replace   0.30     0.9783           1.0000
   replace   0.40     0.9920           1.0000
   replace   0.50     0.9964           1.0000
   replace   0.60     0.9981           1.0000
   replace   0.70     0.9989           1.0000
   replace   0.80     0.9993           1.0000
   replace   0.90     0.9995           1.0000
   replace   1.00     0.9997           1.0000
   shuffle   0.10     0.7115           0.8915
   shuffle   0.20     0.8401           0.9880
   shuffle   0.30     0.9053           0.9993
   shuffle   0.40     0.9405           1.0000
   shuffle   0.50     0.9573           1.0000
   shuffle   0.60     0.9665           1.0000
   shuffle   0.70     0.9724           1.0000
   shuffle   0.80     0.9752           1.0000
   shuffle   0.90     0.9771           1.0000
   shuffle   1.00     0.9770           1.0000
      both   0.10     0.8905           0.9979
      both   0.20     0.9724           1.0000
      both   0.30     0.9901           1.0000
      both   0.40     0.9953           1.0000
      both   0.50     0.9973           1.0000
      both   0.60     0.9983           1.0000
      both   0.70     0.9989           1.0000
      both   0.80     0.9993           1.0000
      both   0.90     0.9995           1.0000
      both   1.00     0.9997           1.0000

Wrote runs/ood_svgp_dirichletfm_det/bigger_ep30_d30k_attention/svgp_corruption_sweep.json
Wrote runs/ood_svgp_dirichletfm_det/bigger_ep30_d30k_attention/svgp_corruption_sweep.png
