Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[maha] t_eval=4.5 d_model=1024 feat_dim=1024 shrinkage=0.1 fit_pos=80000
[maha] positive D^2: per-pos mean=270.526 seq-max mean=458.779

    scheme  rate  AUROC_max  AUROC_mean  tokloc_AUROC
   replace  0.10     0.6741      0.6337        0.7634
   replace  0.30     0.7592      0.9198        0.7487
   replace  0.50     0.8197      0.9947        0.7271
   replace  0.70     0.8843      0.9989        0.7030
   replace  1.00     0.9536      1.0000           nan
   shuffle  0.10     0.4828      0.5049        0.5842
   shuffle  0.30     0.5019      0.6114        0.5697
   shuffle  0.50     0.5280      0.7328        0.5527
   shuffle  0.70     0.5566      0.8080        0.5460
   shuffle  1.00     0.5579      0.8653        0.6031
      both  0.10     0.6647      0.6548        0.6747
      both  0.30     0.7458      0.9476        0.6639
      both  0.50     0.8320      0.9957        0.6593
      both  0.70     0.8864      0.9991        0.6722
      both  1.00     0.9531      1.0000        0.6571

Wrote runs/ood_maha_perpos_dirichletfm_det/baseline_ep10_d10k_pca0/maha_perpos_sweep.json
