Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[maha] t_eval=4.5 d_model=1024 feat_dim=128 shrinkage=0.1 fit_pos=80000
[maha] positive D^2: per-pos mean=91.930 seq-max mean=189.236

    scheme  rate  AUROC_max  AUROC_mean  tokloc_AUROC
   replace  0.10     0.4191      0.3647        0.5482
   replace  0.30     0.3096      0.1696        0.5479
   replace  0.50     0.2162      0.1522        0.5535
   replace  0.70     0.2312      0.2482        0.5511
   replace  1.00     0.2457      0.5240           nan
   shuffle  0.10     0.4422      0.3788        0.5208
   shuffle  0.30     0.3322      0.2193        0.5132
   shuffle  0.50     0.2411      0.1455        0.5128
   shuffle  0.70     0.1996      0.0984        0.5142
   shuffle  1.00     0.1675      0.1055        0.5497
      both  0.10     0.3578      0.2833        0.5376
      both  0.30     0.2141      0.1363        0.5377
      both  0.50     0.1868      0.1334        0.5364
      both  0.70     0.1947      0.2648        0.5466
      both  1.00     0.2423      0.5019        0.5456

Wrote runs/ood_maha_perpos_dirichletfm/bigger_ep30_d30k_pca128/maha_perpos_sweep.json
