Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
positive_val (n=500)  mean(prob)=0.6137

    scheme   rate  mean_prob  AUROC(prob,OOD)
    ------   ----  ---------  ---------------
   replace   0.10     0.6137           0.5000
   replace   0.20     0.6137           0.5000
   replace   0.30     0.6137           0.5000
   replace   0.40     0.6137           0.5000
   replace   0.50     0.6137           0.5000
   replace   0.60     0.6137           0.5000
   replace   0.70     0.6137           0.5000
   replace   0.80     0.6137           0.5000
   replace   0.90     0.6137           0.5000
   replace   1.00     0.6137           0.5000
   shuffle   0.10     0.6137           0.5000
   shuffle   0.20     0.6137           0.5000
   shuffle   0.30     0.6137           0.5000
   shuffle   0.40     0.6137           0.5000
   shuffle   0.50     0.6137           0.5000
   shuffle   0.60     0.6137           0.5000
   shuffle   0.70     0.6137           0.5000
   shuffle   0.80     0.6137           0.5000
   shuffle   0.90     0.6137           0.5000
   shuffle   1.00     0.6137           0.5000
      both   0.10     0.6137           0.5000
      both   0.20     0.6137           0.5000
      both   0.30     0.6137           0.5000
      both   0.40     0.6137           0.5000
      both   0.50     0.6137           0.5000
      both   0.60     0.6137           0.5000
      both   0.70     0.6137           0.5000
      both   0.80     0.6137           0.5000
      both   0.90     0.6137           0.5000
      both   1.00     0.6137           0.5000

Wrote runs/ood_svgp_dirichletfm/baseline_ep10_d10k_attention/svgp_corruption_sweep.json
Wrote runs/ood_svgp_dirichletfm/baseline_ep10_d10k_attention/svgp_corruption_sweep.png
